"Endpoint RX Packet Loss Percentage",
Date,"cv_udp-1.2-1.wlan100--1.0.0-A/Packet Loss Percent",Date,"cv_udp-1.2-1.wlan100--1.0.0-B/Packet Loss Percent",Date,"cv_tcp-1.2-1.wlan100--1.0.0-A/Packet Loss Percent",Date,"cv_tcp-1.2-1.wlan100--1.0.0-B/Packet Loss Percent",
"2022-02-15T13:55:09.777 UTC",0,"2022-02-15T13:55:09.777 UTC",1.93168,"2022-02-15T13:56:46.855 UTC",0,"2022-02-15T13:56:46.855 UTC",0,
"2022-02-15T13:55:10.785 UTC",0,"2022-02-15T13:55:10.785 UTC",1.29573,"2022-02-15T13:56:47.866 UTC",0,"2022-02-15T13:56:47.866 UTC",0,
"2022-02-15T13:55:11.792 UTC",0,"2022-02-15T13:55:11.792 UTC",1.0041,"2022-02-15T13:56:48.879 UTC",0,"2022-02-15T13:56:48.879 UTC",0,
"2022-02-15T13:55:12.799 UTC",0,"2022-02-15T13:55:12.799 UTC",1.36045,"2022-02-15T13:56:49.891 UTC",0,"2022-02-15T13:56:49.891 UTC",0,
"2022-02-15T13:55:13.809 UTC",0,"2022-02-15T13:55:13.809 UTC",1.50223,"2022-02-15T13:56:50.902 UTC",0,"2022-02-15T13:56:50.902 UTC",0,
"2022-02-15T13:55:14.817 UTC",0,"2022-02-15T13:55:14.817 UTC",1.24445,"2022-02-15T13:56:51.911 UTC",0,"2022-02-15T13:56:51.911 UTC",0,
"2022-02-15T13:55:15.826 UTC",0,"2022-02-15T13:55:15.826 UTC",0.85125,"2022-02-15T13:56:52.925 UTC",0,"2022-02-15T13:56:52.925 UTC",0,
"2022-02-15T13:55:16.833 UTC",0,"2022-02-15T13:55:16.833 UTC",0.82651,"2022-02-15T13:56:53.935 UTC",0,"2022-02-15T13:56:53.935 UTC",0,
"2022-02-15T13:55:17.840 UTC",0,"2022-02-15T13:55:17.840 UTC",1.38536,"2022-02-15T13:56:54.944 UTC",0,"2022-02-15T13:56:54.944 UTC",0,
"2022-02-15T13:55:18.849 UTC",0,"2022-02-15T13:55:18.849 UTC",1.47697,"2022-02-15T13:56:55.954 UTC",0,"2022-02-15T13:56:55.954 UTC",0,
